1-01,1,1,Dos Topas,Topa Topa,Lager,4.5%,12,Central Coast
1-02,1,2,Luke's Original,Lucky Luke,American Blonde Ale,5.4%,N/A,LA County
1-03,1,3,Sabre-Toothed Squirrel...,Smog City,Hoppy Amber Ale,7.0%,N/A,LA County
1-04,1,4,First Ascent,Touchstone,American Pale Ale,5.3%,N/A,Sacramento
1-05,1,5,Neverending Haze,Stone Brewing,Hazy IPA,4.0%,35,San Diego
1-06,1,6,Luscious IPA,Silva Brewing,Hazy IPA,6.0%,N/A,Central Coast
1-07,1,7,Hop Solo,21st Amendment,Hazy IPA,6.6%,55,SF Bay Area
1-08,1,8,Scrappalicious,LA Ale Works,Juicy IPA,7.5%,N/A,LA County
1-09,1,9,Monk's Mosaic Garden,The Lost Abbey (w/Monk's Cafe),West Coast IPA,6.3%,N/A,San Diego
1-10,1,10,DDH Mai Tai,Alvarado Street,West Coast IPA,6.5%,45,SF Bay Area
1-11,1,11,Mo-Tra,Santa Maria,IPA (w/blood orange),7.2%,45,Central Coast
1-12,1,12,Alpha Dank IPA,Hop Dogma,IPA,6.9%,N/A,SF Bay Area
1-13,1,13,Hoppy Hoppy Joy Joy,Fort Rock,West Coast IPA,7.0%,55,Sacramento
1-14,1,14,Amalgamator,Beachwood,West Coast IPA,7.1%,70,LA County
1-15,1,15,Artifex,Essential Workers,Hazy DIPA,8.5%,40,Orange County
1-16,1,16,Three Brothers,Logoff,Belgian Tripel,8.5%,22,Sacramento
1-17,1,17,Beautiful Skin,Brewyard,Imperial Brown Lager,8.0%,30,LA County
1-18,1,18,Stereo,Summer Sun,American Sour (w/raspberry),8.5%,0,Orange County
2-01,2,1,Louie Louie Time,Skyland Ale Works,Munich Helles,4.7%,20,Inland Empire
2-02,2,2,Cluck the Rona,HenHouse,Kölsch,4.7%,N/A,SF Bay Area
2-03,2,3,Redwood Lager,Fogbelt,American Red Lager,5.4%,33,SF Bay Area
2-04,2,4,Jack Porter,Jackrabbit,English Porter,7.0%,N/A,Sacramento
2-05,2,5,Gorilla,King Cong,American Pale Ale,5.0%,N/A,Sacramento
2-06,2,6,Tiny Dankster,Cellarmaker,American Pale Ale,5.7%,37,SF Bay Area
2-07,2,7,Cloud Stream,AleSmith,Hazy IPA,6.9%,7,San Diego
2-08,2,8,Book of Haze,Craft Brewing Co.,Hazy IPA,6.4%,32,Inland Empire
2-09,2,9,Single Fin,Mike Hess,Hazy IPA,6.5%,42,San Diego
2-10,2,10,Kinetic Kush,Barebottle,Hazy IPA,6.7%,N/A,SF Bay Area
2-11,2,11,Mosaic Oasis,Karl Strauss (w/Modern Times),IPA,7.0%,50,San Diego
2-12,2,12,Liquid Gravity IPA,Liquid Gravity,West Coast IPA,7.0%,65,Central Coast
